Memory	When	Capacity
MemoryRelocation_Processor1_localMemory	0.179093017578	0.000000000000
MemoryRelocation_Processor1_localMemory	0.190954589844	1000000.000000000000
MemoryRelocation_Processor1_localMemory	0.192816162109	0.000000000000
MemoryRelocation_Processor1_localMemory	0.202816162109	1000000.000000000000
MemoryRelocation_Processor1_localMemory	0.204677734375	0.000000000000
MemoryRelocation_Processor1_localMemory	0.216539306641	1000000.000000000000
MemoryRelocation_Processor1_localMemory	0.218400878906	0.000000000000
MemoryRelocation_Processor1_localMemory	0.228400878906	1000000.000000000000
MemoryRelocation_Processor1_localMemory	0.230262451172	0.000000000000
MemoryRelocation_Processor1_localMemory	0.242124023438	1000000.000000000000
MemoryRelocation_Processor1_localMemory	0.243985595703	0.000000000000
MemoryRelocation_Processor1_localMemory	0.253985595703	1000000.000000000000
MemoryRelocation_Processor1_localMemory	0.255847167969	0.000000000000
MemoryRelocation_Processor1_localMemory	0.267708740234	1000000.000000000000
MemoryRelocation_Processor1_localMemory	0.269570312500	0.000000000000
MemoryRelocation_Processor1_localMemory	0.279570312500	1000000.000000000000
MemoryRelocation_Processor1_localMemory	0.281431884766	0.000000000000
MemoryRelocation_Processor1_localMemory	0.293293457031	1000000.000000000000
MemoryRelocation_Processor1_localMemory	0.295155029297	0.000000000000
MemoryRelocation_Processor2_localMemory	0.000000000000	0.000000000000
MemoryRelocation_Processor2_localMemory	0.010000000000	1000000.000000000000
MemoryRelocation_Processor2_localMemory	0.011861572266	2000000.000000000000
MemoryRelocation_Processor2_localMemory	0.013723144531	1000000.000000000000
MemoryRelocation_Processor2_localMemory	0.039307861328	0.000000000000
MemoryRelocation_Processor2_localMemory	0.049307861328	1000000.000000000000
MemoryRelocation_Processor2_localMemory	0.064892578125	0.000000000000
MemoryRelocation_Processor2_localMemory	0.074892578125	1000000.000000000000
MemoryRelocation_Processor2_localMemory	0.090477294922	0.000000000000
MemoryRelocation_Processor2_localMemory	0.100477294922	1000000.000000000000
MemoryRelocation_Processor2_localMemory	0.116062011719	0.000000000000
MemoryRelocation_Processor2_localMemory	0.126062011719	1000000.000000000000
MemoryRelocation_Processor2_localMemory	0.141646728516	0.000000000000
MemoryRelocation_Processor2_localMemory	0.151646728516	1000000.000000000000
MemoryRelocation_Processor2_localMemory	0.167231445313	0.000000000000
MemoryRelocation_Processor2_localMemory	0.177231445313	1000000.000000000000
MemoryRelocation_Processor2_localMemory	0.192816162109	0.000000000000
